query_path,class,AP,P@1,P@10,R@10,HitRate@10
Persian/46229162_50472.jpg,Persian,0.15059245140164815,0.0,0.0,0.0,0.0
Persian/32853814_4863.jpg,Persian,0.15554279711839994,0.0,0.0,0.0,0.0
Persian/35430320_3860.jpg,Persian,0.1558515205229739,0.0,0.0,0.0,0.0
Persian/29041236_6253.jpg,Persian,0.1632902523410425,0.0,0.0,0.0,0.0
Persian/46025941_281.jpg,Persian,0.16423131595435358,0.0,0.2,0.002002002002002002,1.0
Persian/41106023_2043.jpg,Persian,0.16579314763650588,1.0,0.1,0.001001001001001001,1.0
American Shorthair/44762093_4794.jpg,American Shorthair,0.16716161080278513,1.0,0.1,0.001001001001001001,1.0
American Shorthair/44546196_5089.jpg,American Shorthair,0.16748024348603857,0.0,0.0,0.0,0.0
American Shorthair/45859732_2665.jpg,American Shorthair,0.16966923043811172,0.0,0.0,0.0,0.0
American Shorthair/44962251_4434.jpg,American Shorthair,0.17072125896972964,0.0,0.4,0.004004004004004004,1.0
Persian/44895558_657.jpg,Persian,0.1711387171858707,0.0,0.0,0.0,0.0
American Shorthair/46026721_1548.jpg,American Shorthair,0.17239815000766323,0.0,0.4,0.004004004004004004,1.0
Persian/31474249_5337.jpg,Persian,0.17331456434692571,0.0,0.0,0.0,0.0
Persian/43390770_1238.jpg,Persian,0.17607918730657782,0.0,0.0,0.0,0.0
American Shorthair/46413975_33578.jpg,American Shorthair,0.1766312190681257,0.0,0.0,0.0,0.0
American Shorthair/45998830_1932.jpg,American Shorthair,0.17702482916787193,1.0,0.2,0.002002002002002002,1.0
American Shorthair/46001174_1819.jpg,American Shorthair,0.17702482916787193,1.0,0.2,0.002002002002002002,1.0
Russian Blue/45203027_2586.jpg,Russian Blue,0.17832620511643751,0.0,0.0,0.0,0.0
American Shorthair/46186380_54003.jpg,American Shorthair,0.1785055688873768,1.0,0.5,0.005005005005005005,1.0
Persian/27142232_7132.jpg,Persian,0.1788851589714193,0.0,0.1,0.001001001001001001,1.0
American Shorthair/46489417_25848.jpg,American Shorthair,0.17910393002104208,0.0,0.1,0.001001001001001001,1.0
Persian/37923178_2970.jpg,Persian,0.1796633494969676,0.0,0.0,0.0,0.0
Russian Blue/43941008_4169.jpg,Russian Blue,0.18008983037736526,0.0,0.0,0.0,0.0
Russian Blue/41595270_7095.jpg,Russian Blue,0.18066346621655952,0.0,0.1,0.001001001001001001,1.0
Persian/46509795_23374.jpg,Persian,0.18069915725580452,0.0,0.0,0.0,0.0
Persian/37346343_3202.jpg,Persian,0.18118414651822215,0.0,0.2,0.002002002002002002,1.0
Persian/30611652_5662.jpg,Persian,0.1822565204870256,0.0,0.0,0.0,0.0
American Shorthair/41891476_9199.jpg,American Shorthair,0.18268786270358867,0.0,0.4,0.004004004004004004,1.0
American Shorthair/44915023_4539.jpg,American Shorthair,0.18305577740652462,0.0,0.0,0.0,0.0
Persian/26335307_7424.jpg,Persian,0.18328498364772797,0.0,0.0,0.0,0.0
Persian/41542784_1846.jpg,Persian,0.1847907828040169,0.0,0.2,0.002002002002002002,1.0
American Shorthair/44679055_4915.jpg,American Shorthair,0.18605548821232884,1.0,0.5,0.005005005005005005,1.0
American Shorthair/44407551_5303.jpg,American Shorthair,0.18656400262986766,1.0,0.5,0.005005005005005005,1.0
Persian/42588885_1490.jpg,Persian,0.18783029471808718,0.0,0.0,0.0,0.0
American Shorthair/45894291_2615.jpg,American Shorthair,0.18844949922268453,1.0,0.3,0.003003003003003003,1.0
American Shorthair/42091521_8867.jpg,American Shorthair,0.1888397696339116,1.0,0.3,0.003003003003003003,1.0
American Shorthair/43282153_6918.jpg,American Shorthair,0.18902114703386638,0.0,0.0,0.0,0.0
American Shorthair/41769872_9379.jpg,American Shorthair,0.18933566145039402,0.0,0.0,0.0,0.0
American Shorthair/44906865_4550.jpg,American Shorthair,0.18940477978036815,1.0,0.2,0.002002002002002002,1.0
American Shorthair/45848962_2675.jpg,American Shorthair,0.18993936307158674,1.0,0.8,0.008008008008008008,1.0
American Shorthair/42215846_8636.jpg,American Shorthair,0.1912545426115272,0.0,0.0,0.0,0.0
Persian/43881144_1061.jpg,Persian,0.19172767359811466,0.0,0.0,0.0,0.0
American Shorthair/42376829_8359.jpg,American Shorthair,0.192245820895202,0.0,0.1,0.001001001001001001,1.0
Persian/33638222_4559.jpg,Persian,0.19367376475155748,0.0,0.1,0.001001001001001001,1.0
American Shorthair/45414288_3376.jpg,American Shorthair,0.19391449855016973,0.0,0.1,0.001001001001001001,1.0
Russian Blue/41364663_7310.jpg,Russian Blue,0.19393460036946225,0.0,0.1,0.001001001001001001,1.0
American Shorthair/41697751_9491.jpg,American Shorthair,0.19438110851446808,0.0,0.5,0.005005005005005005,1.0
